S.No.,State/UT,District Hospital - Sanctioned,District Hospital - In Position,Sub District/Sub Divisional Hospital - Sanctioned,Sub District/Sub Divisional Hospital - In Position
1,Andhra Pradesh,433,299,668,428
2,Arunachal Pradesh,NA,397,NA,NA
3,Assam,NA,751,NA,198
4,Bihar,888,1301,55,286
5,Chhattisgarh,956,544,175,53
6,Goa,87,69,151,85
7,Gujarat,518,318,435,163
8,Haryana,633,882,312,340
9,Himachal Pradesh,323,529,358,419
10,Jammu & Kashmir,1352,933,NA,NA
11,Jharkhand,848,579,265,85
12,Karnataka,1727,1366,1841,1302
13,Kerala,87,502,488,624
14,Madhya Pradesh,3206,2409,942,568
15,Maharashtra,1292,875,1362,1348
16,Manipur,270,230,17,6
17,Meghalaya,266,266,11,18
18,Mizoram,NA,195,NA,29
19,Nagaland,23,175,0,0
20,Odisha,1427,1094,567,347
21,Punjab,813,648,782,559
22,Rajasthan,1998,1466,630,472
23,Sikkim,NA,88,0,0
24,Tamil Nadu,1869,1403,3372,2555
25,Telangana,319,158,1356,411
26,Tripura,84,92,64,88
27,Uttarakhand,395,292,290,222
28,Uttar Pradesh,4319,3604,0,0
29,West Bengal,1766,1330,5277,1665
30,A & N Islands,36,17,0,0
31,Chandigarh,117,166,0,31
32,D & N Haveli,61,68,0,14
33,Daman & Diu,43,32,0,0
34,Delhi,1861,1300,149,107
35,Lakshadweep,41,34,9,9
36,Puducherry,508,487,NA,NA
NA,All India,28566,24899,19576,12432
