State/UT,Funds Released (Rs. In lakhs) - 2015-16,Funds Released (Rs. In lakhs) - 2016-17,Funds Released (Rs. In lakhs) - 2017-18,Funds Released (Rs. In lakhs) - 2018-19
Andaman & Nicobar Islands,38.55,16.2525,21.66348,NA
Andhra Pradesh,8.45,NA,25.71001,10.36
Arunachal Pradesh,43.42,NA,32.505,NA
Assam,8.45,NA,2.77925,NA
Bihar,8.45,NA,20.7132,NA
Chhattisgarh,44.79,NA,36.9142,NA
Chandigarh,32.5,NA,19.525,NA
Dadra & Nagar Haveli,38.55,NA,16.36,NA
Daman and Diu,20.95,NA,11.9,NA
Delhi,231.27,NA,97.85887,NA
Goa,44.79,NA,NA,NA
Gujarat,318.05,NA,112.9254,NA
Haryana,434.91,126.58,381.7374,0.13
Himachal Pradesh,49.55,NA,89.7198,NA
Jammu & Kashmir,366.54,15.6225,262.9073,50
Jharkhand,39.83,NA,NA,NA
Karnataka,41.48,NA,32.505,NA
Kerala,44.79,NA,6.11417,NA
Madhya Pradesh,109.14,22.7497,101.2951,NA
Maharashtra,370.88,NA,295.3895,NA
Manipur,8.72,NA,44.9501,NA
Meghalaya,43.24,16.225,17.12517,NA
Mizoram,44.79,NA,32.5,25
Nagaland,8.45,24.0475,23.3,25
Odisha,26.65,NA,31.79516,NA
Puducherry,18.15,NA,28.1135,NA
Punjab,385.26,NA,510.9947,NA
Rajasthan,357.47,36.0887,245.6982,NA
Sikkim,44.79,32.505,42.0875,NA
Tamil Nadu,23.04,NA,30.88,25
Telangana,44.79,NA,11.32149,NA
Tripura,44.79,NA,NA,NA
Uttar Pradesh,429.73,NA,601.755,NA
Uttarakhand,133.5,NA,101.8176,NA
Lakshadweep,NA,NA,27.555,NA
Total,3908.71,290.0709,3318.416,135.49
